Prefix Length,Determiners,Prompt,Answer,Correct
2,three-at least two,"Sophie had three of the shirts. Did Sophie have more than two of the shirts? Yes.
The actor saw none of the hats. Did the actor see several of the hats? No.
Bill wanted three of the apples. Did Bill want at least two of the apples?", Yes.,1
2,at least two-three,"Sophie had three of the shirts. Did Sophie have more than two of the shirts? Yes.
The actor saw none of the hats. Did the actor see several of the hats? No.
Mark purchased at least two of the cupcakes. Did Mark purchase three of the cupcakes?", No.,0
2,three-three,"Sophie had three of the shirts. Did Sophie have more than two of the shirts? Yes.
The actor saw none of the hats. Did the actor see several of the hats? No.
Sidney bought three of the toys. Did Sidney buy three of the toys?", Yes.,1
2,at least two-at least two,"Sophie had three of the shirts. Did Sophie have more than two of the shirts? Yes.
The actor saw none of the hats. Did the actor see several of the hats? No.
At least two of the cars are affordable. Are at least two of the cars affordable?", Yes.,1
2,two-three,"Michael wanted several of the snacks. Did Michael want none of the snacks? No.
Two of the shirts are affordable. Are some of the shirts affordable? Yes.
The woman got two of the peanuts. Did the woman get three of the peanuts?", No.,1
2,three-two,"Michael wanted several of the snacks. Did Michael want none of the snacks? No.
Two of the shirts are affordable. Are some of the shirts affordable? Yes.
The singer bought three of the cakes. Did the singer buy two of the cakes?", No.,0
2,three-at least two,"Michael wanted several of the snacks. Did Michael want none of the snacks? No.
Two of the shirts are affordable. Are some of the shirts affordable? Yes.
Adam owned three of the hats. Did Adam own at least two of the hats?", Yes.,1
2,at least two-three,"Michael wanted several of the snacks. Did Michael want none of the snacks? No.
Two of the shirts are affordable. Are some of the shirts affordable? Yes.
Bill liked at least two of the candles. Did Bill like three of the candles?", No.,0
2,three-three,"Michael wanted several of the snacks. Did Michael want none of the snacks? No.
Two of the shirts are affordable. Are some of the shirts affordable? Yes.
Three of the churros are cold. Are three of the churros cold?", Yes.,1
2,at least two-at least two,"Michael wanted several of the snacks. Did Michael want none of the snacks? No.
Two of the shirts are affordable. Are some of the shirts affordable? Yes.
At least two of the cherries are tasty. Are at least two of the cherries tasty?", Yes.,1
2,two-three,"The singer had both of the cakes. Did the singer have two of the cakes? Yes.
None of the shoes are yellow. Are several of the shoes yellow? No.
Robin spotted two of the scarves. Did Robin spot three of the scarves?", No.,1
2,three-two,"The singer had both of the cakes. Did the singer have two of the cakes? Yes.
None of the shoes are yellow. Are several of the shoes yellow? No.
Ann saw three of the dogs. Did Ann see two of the dogs?", No.,0
2,three-at least two,"The singer had both of the cakes. Did the singer have two of the cakes? Yes.
None of the shoes are yellow. Are several of the shoes yellow? No.
Sally noticed three of the bagels. Did Sally notice at least two of the bagels?", Yes.,1
2,at least two-three,"The singer had both of the cakes. Did the singer have two of the cakes? Yes.
None of the shoes are yellow. Are several of the shoes yellow? No.
Mary wanted at least two of the cherries. Did Mary want three of the cherries?", No.,0
2,three-three,"The singer had both of the cakes. Did the singer have two of the cakes? Yes.
None of the shoes are yellow. Are several of the shoes yellow? No.
Bill saw three of the bagels. Did Bill see three of the bagels?", Yes.,1
2,at least two-at least two,"The singer had both of the cakes. Did the singer have two of the cakes? Yes.
None of the shoes are yellow. Are several of the shoes yellow? No.
The teacher bought at least two of the cakes. Did the teacher buy at least two of the cakes?", Yes.,1
2,two-three,"John ate exactly two of the pretzels. Did John eat three of the pretzels? No.
Lucy ordered both of the candles. Did Lucy order two of the candles? Yes.
Sam sold two of the cherries. Did Sam sell three of the cherries?", No.,1
2,three-two,"John ate exactly two of the pretzels. Did John eat three of the pretzels? No.
Lucy ordered both of the candles. Did Lucy order two of the candles? Yes.
Three of the shirts are cheap. Are two of the shirts cheap?", No.,0
2,three-at least two,"John ate exactly two of the pretzels. Did John eat three of the pretzels? No.
Lucy ordered both of the candles. Did Lucy order two of the candles? Yes.
The woman had three of the chocolates. Did the woman have at least two of the chocolates?", Yes.,1
2,at least two-three,"John ate exactly two of the pretzels. Did John eat three of the pretzels? No.
Lucy ordered both of the candles. Did Lucy order two of the candles? Yes.
At least two of the backpacks are on sale. Are three of the backpacks on sale?", No.,0
2,three-three,"John ate exactly two of the pretzels. Did John eat three of the pretzels? No.
Lucy ordered both of the candles. Did Lucy order two of the candles? Yes.
Sidney got three of the pancakes. Did Sidney get three of the pancakes?", No.,0
2,at least two-at least two,"John ate exactly two of the pretzels. Did John eat three of the pretzels? No.
Lucy ordered both of the candles. Did Lucy order two of the candles? Yes.
Sally had at least two of the hats. Did Sally have at least two of the hats?", Yes.,1
2,two-three,"Michael ate half of the apples. Did Michael eat some of the apples? Yes.
Mark sold all of the rings. Did Mark sell none of the rings? No.
Two of the oranges are sold out. Are three of the oranges sold out?", Yes.,0
2,three-two,"Michael ate half of the apples. Did Michael eat some of the apples? Yes.
Mark sold all of the rings. Did Mark sell none of the rings? No.
Three of the scarves are sold out. Are two of the scarves sold out?", Yes.,1
2,three-at least two,"Michael ate half of the apples. Did Michael eat some of the apples? Yes.
Mark sold all of the rings. Did Mark sell none of the rings? No.
The woman spotted three of the candles. Did the woman spot at least two of the candles?", Yes.,1
2,at least two-three,"Michael ate half of the apples. Did Michael eat some of the apples? Yes.
Mark sold all of the rings. Did Mark sell none of the rings? No.
Sophie had at least two of the bottles. Did Sophie have three of the bottles?", Yes.,0
2,three-three,"Michael ate half of the apples. Did Michael eat some of the apples? Yes.
Mark sold all of the rings. Did Mark sell none of the rings? No.
Ann sold three of the shoes. Did Ann sell three of the shoes?", Yes.,1
2,at least two-at least two,"Michael ate half of the apples. Did Michael eat some of the apples? Yes.
Mark sold all of the rings. Did Mark sell none of the rings? No.
Michael spotted at least two of the sandwiches. Did Michael spot at least two of the sandwiches?", Yes.,1
2,two-three,"Half of the sandwiches are on sale. Are half of the sandwiches on sale? Yes.
Jim got none of the keyrings. Did Jim get two of the keyrings? No.
Two of the snacks are pretty. Are three of the snacks pretty?", No.,1
2,three-two,"Half of the sandwiches are on sale. Are half of the sandwiches on sale? Yes.
Jim got none of the keyrings. Did Jim get two of the keyrings? No.
Laura sold three of the oranges. Did Laura sell two of the oranges?", No.,0
2,three-at least two,"Half of the sandwiches are on sale. Are half of the sandwiches on sale? Yes.
Jim got none of the keyrings. Did Jim get two of the keyrings? No.
Three of the shirts are blue. Are at least two of the shirts blue?", Yes.,1
2,at least two-three,"Half of the sandwiches are on sale. Are half of the sandwiches on sale? Yes.
Jim got none of the keyrings. Did Jim get two of the keyrings? No.
The singer sold at least two of the candles. Did the singer sell three of the candles?", No.,0
2,three-three,"Half of the sandwiches are on sale. Are half of the sandwiches on sale? Yes.
Jim got none of the keyrings. Did Jim get two of the keyrings? No.
Sidney ate three of the oranges. Did Sidney eat three of the oranges?", Yes.,1
2,at least two-at least two,"Half of the sandwiches are on sale. Are half of the sandwiches on sale? Yes.
Jim got none of the keyrings. Did Jim get two of the keyrings? No.
At least two of the shirts are impressive. Are at least two of the shirts impressive?", Yes.,1
2,two-three,"Ann liked none of the snacks. Did Ann like some of the snacks? No.
The actress ordered three of the mugs. Did the actress order more than two of the mugs? Yes.
Michael owned two of the scarves. Did Michael own three of the scarves?", No.,1
2,three-two,"Ann liked none of the snacks. Did Ann like some of the snacks? No.
The actress ordered three of the mugs. Did the actress order more than two of the mugs? Yes.
The actress sold three of the toys. Did the actress sell two of the toys?", No.,0
2,three-at least two,"Ann liked none of the snacks. Did Ann like some of the snacks? No.
The actress ordered three of the mugs. Did the actress order more than two of the mugs? Yes.
The singer sold three of the sandwiches. Did the singer sell at least two of the sandwiches?", Yes.,1
2,at least two-three,"Ann liked none of the snacks. Did Ann like some of the snacks? No.
The actress ordered three of the mugs. Did the actress order more than two of the mugs? Yes.
Sophie ordered at least two of the sandwiches. Did Sophie order three of the sandwiches?", No.,0
2,three-three,"Ann liked none of the snacks. Did Ann like some of the snacks? No.
The actress ordered three of the mugs. Did the actress order more than two of the mugs? Yes.
Robin purchased three of the bagels. Did Robin purchase three of the bagels?", Yes.,1
2,at least two-at least two,"Ann liked none of the snacks. Did Ann like some of the snacks? No.
The actress ordered three of the mugs. Did the actress order more than two of the mugs? Yes.
Jo wanted at least two of the candles. Did Jo want at least two of the candles?", Yes.,1
2,two-three,"Michael sold some of the umbrellas. Did Michael sell more than one of the umbrellas? Yes.
Robin sold most of the snacks. Did Robin sell none of the snacks? No.
The actress wanted two of the pastries. Did the actress want three of the pastries?", No.,1
2,three-two,"Michael sold some of the umbrellas. Did Michael sell more than one of the umbrellas? Yes.
Robin sold most of the snacks. Did Robin sell none of the snacks? No.
Ann wanted three of the cakes. Did Ann want two of the cakes?", No.,0
2,three-at least two,"Michael sold some of the umbrellas. Did Michael sell more than one of the umbrellas? Yes.
Robin sold most of the snacks. Did Robin sell none of the snacks? No.
John wanted three of the rings. Did John want at least two of the rings?", Yes.,1
2,at least two-three,"Michael sold some of the umbrellas. Did Michael sell more than one of the umbrellas? Yes.
Robin sold most of the snacks. Did Robin sell none of the snacks? No.
Lucy wanted at least two of the pretzels. Did Lucy want three of the pretzels?", No.,0
2,three-three,"Michael sold some of the umbrellas. Did Michael sell more than one of the umbrellas? Yes.
Robin sold most of the snacks. Did Robin sell none of the snacks? No.
Laura liked three of the bottles. Did Laura like three of the bottles?", Yes.,1
2,at least two-at least two,"Michael sold some of the umbrellas. Did Michael sell more than one of the umbrellas? Yes.
Robin sold most of the snacks. Did Robin sell none of the snacks? No.
Laura saw at least two of the giraffes. Did Laura see at least two of the giraffes?", Yes.,1
2,two-three,"Both of the hats are cheap. Are two of the hats cheap? Yes.
All of the backpacks are pretty. Are none of the backpacks pretty? No.
Lucy liked two of the mugs. Did Lucy like three of the mugs?", No.,1
2,three-two,"Both of the hats are cheap. Are two of the hats cheap? Yes.
All of the backpacks are pretty. Are none of the backpacks pretty? No.
Three of the churros are on sale. Are two of the churros on sale?", No.,0
2,three-at least two,"Both of the hats are cheap. Are two of the hats cheap? Yes.
All of the backpacks are pretty. Are none of the backpacks pretty? No.
Three of the cherries are impressive. Are at least two of the cherries impressive?", Yes.,1
2,at least two-three,"Both of the hats are cheap. Are two of the hats cheap? Yes.
All of the backpacks are pretty. Are none of the backpacks pretty? No.
Sophie owned at least two of the cherries. Did Sophie own three of the cherries?", No.,0
2,three-three,"Both of the hats are cheap. Are two of the hats cheap? Yes.
All of the backpacks are pretty. Are none of the backpacks pretty? No.
Mary noticed three of the umbrellas. Did Mary notice three of the umbrellas?", Yes.,1
2,at least two-at least two,"Both of the hats are cheap. Are two of the hats cheap? Yes.
All of the backpacks are pretty. Are none of the backpacks pretty? No.
Jim owned at least two of the shoes. Did Jim own at least two of the shoes?", Yes.,1
2,two-three,"Laura wanted both of the backpacks. Did Laura want all of the backpacks? Yes.
All of the sweaters are colourful. Are none of the sweaters colourful? No.
The actress spotted two of the hats. Did the actress spot three of the hats?", No.,1
2,three-two,"Laura wanted both of the backpacks. Did Laura want all of the backpacks? Yes.
All of the sweaters are colourful. Are none of the sweaters colourful? No.
Jo bought three of the tickets. Did Jo buy two of the tickets?", Yes.,1
2,three-at least two,"Laura wanted both of the backpacks. Did Laura want all of the backpacks? Yes.
All of the sweaters are colourful. Are none of the sweaters colourful? No.
Jo wanted three of the strawberries. Did Jo want at least two of the strawberries?", Yes.,1
2,at least two-three,"Laura wanted both of the backpacks. Did Laura want all of the backpacks? Yes.
All of the sweaters are colourful. Are none of the sweaters colourful? No.
Sidney spotted at least two of the cakes. Did Sidney spot three of the cakes?", Yes.,0
2,three-three,"Laura wanted both of the backpacks. Did Laura want all of the backpacks? Yes.
All of the sweaters are colourful. Are none of the sweaters colourful? No.
Jo ate three of the burgers. Did Jo eat three of the burgers?", Yes.,1
2,at least two-at least two,"Laura wanted both of the backpacks. Did Laura want all of the backpacks? Yes.
All of the sweaters are colourful. Are none of the sweaters colourful? No.
At least two of the toys are sold out. Are at least two of the toys sold out?", Yes.,1
2,two-three,"Sam liked exactly two of the tickets. Did Sam like one of the tickets? No.
The actress bought some of the burgers. Did the actress buy two of the burgers? Yes.
Jo liked two of the apples. Did Jo like three of the apples?", No.,1
2,three-two,"Sam liked exactly two of the tickets. Did Sam like one of the tickets? No.
The actress bought some of the burgers. Did the actress buy two of the burgers? Yes.
Mary purchased three of the candles. Did Mary purchase two of the candles?", No.,0
2,three-at least two,"Sam liked exactly two of the tickets. Did Sam like one of the tickets? No.
The actress bought some of the burgers. Did the actress buy two of the burgers? Yes.
Sally bought three of the candles. Did Sally buy at least two of the candles?", Yes.,1
2,at least two-three,"Sam liked exactly two of the tickets. Did Sam like one of the tickets? No.
The actress bought some of the burgers. Did the actress buy two of the burgers? Yes.
Lucy noticed at least two of the shoes. Did Lucy notice three of the shoes?", No.,0
2,three-three,"Sam liked exactly two of the tickets. Did Sam like one of the tickets? No.
The actress bought some of the burgers. Did the actress buy two of the burgers? Yes.
The woman had three of the rings. Did the woman have three of the rings?", No.,0
2,at least two-at least two,"Sam liked exactly two of the tickets. Did Sam like one of the tickets? No.
The actress bought some of the burgers. Did the actress buy two of the burgers? Yes.
The woman owned at least two of the candles. Did the woman own at least two of the candles?", Yes.,1
2,two-three,"Sally ordered none of the sweaters. Did Sally order some of the sweaters? No.
The teacher owned some of the toys. Did the teacher own two of the toys? Yes.
The actor ate two of the sandwiches. Did the actor eat three of the sandwiches?", No.,1
2,three-two,"Sally ordered none of the sweaters. Did Sally order some of the sweaters? No.
The teacher owned some of the toys. Did the teacher own two of the toys? Yes.
Jim got three of the tickets. Did Jim get two of the tickets?", No.,0
2,three-at least two,"Sally ordered none of the sweaters. Did Sally order some of the sweaters? No.
The teacher owned some of the toys. Did the teacher own two of the toys? Yes.
Sophie got three of the hats. Did Sophie get at least two of the hats?", Yes.,1
2,at least two-three,"Sally ordered none of the sweaters. Did Sally order some of the sweaters? No.
The teacher owned some of the toys. Did the teacher own two of the toys? Yes.
At least two of the cherries are cold. Are three of the cherries cold?", Yes.,0
2,three-three,"Sally ordered none of the sweaters. Did Sally order some of the sweaters? No.
The teacher owned some of the toys. Did the teacher own two of the toys? Yes.
Three of the scarves are blue. Are three of the scarves blue?", Yes.,1
2,at least two-at least two,"Sally ordered none of the sweaters. Did Sally order some of the sweaters? No.
The teacher owned some of the toys. Did the teacher own two of the toys? Yes.
Laura had at least two of the snacks. Did Laura have at least two of the snacks?", Yes.,1
2,two-three,"Ann noticed three of the sweaters. Did Ann notice three of the sweaters? Yes.
Several of the pancakes are warm. Are none of the pancakes warm? No.
Adam liked two of the keyrings. Did Adam like three of the keyrings?", No.,1
2,three-two,"Ann noticed three of the sweaters. Did Ann notice three of the sweaters? Yes.
Several of the pancakes are warm. Are none of the pancakes warm? No.
Three of the cars are orange. Are two of the cars orange?", Yes.,1
2,three-at least two,"Ann noticed three of the sweaters. Did Ann notice three of the sweaters? Yes.
Several of the pancakes are warm. Are none of the pancakes warm? No.
Sophie purchased three of the bagels. Did Sophie purchase at least two of the bagels?", Yes.,1
2,at least two-three,"Ann noticed three of the sweaters. Did Ann notice three of the sweaters? Yes.
Several of the pancakes are warm. Are none of the pancakes warm? No.
Sidney ate at least two of the strawberries. Did Sidney eat three of the strawberries?", No.,0
2,three-three,"Ann noticed three of the sweaters. Did Ann notice three of the sweaters? Yes.
Several of the pancakes are warm. Are none of the pancakes warm? No.
The man bought three of the backpacks. Did the man buy three of the backpacks?", Yes.,1
2,at least two-at least two,"Ann noticed three of the sweaters. Did Ann notice three of the sweaters? Yes.
Several of the pancakes are warm. Are none of the pancakes warm? No.
Robin ordered at least two of the strawberries. Did Robin order at least two of the strawberries?", Yes.,1
2,two-three,"The woman bought none of the rings. Did the woman buy several of the rings? No.
Half of the backpacks are orange. Are half of the backpacks orange? Yes.
Lucy owned two of the mugs. Did Lucy own three of the mugs?", No.,1
2,three-two,"The woman bought none of the rings. Did the woman buy several of the rings? No.
Half of the backpacks are orange. Are half of the backpacks orange? Yes.
Jo got three of the bagels. Did Jo get two of the bagels?", No.,0
2,three-at least two,"The woman bought none of the rings. Did the woman buy several of the rings? No.
Half of the backpacks are orange. Are half of the backpacks orange? Yes.
Three of the cherries are sold out. Are at least two of the cherries sold out?", Yes.,1
2,at least two-three,"The woman bought none of the rings. Did the woman buy several of the rings? No.
Half of the backpacks are orange. Are half of the backpacks orange? Yes.
Laura had at least two of the burgers. Did Laura have three of the burgers?", No.,0
2,three-three,"The woman bought none of the rings. Did the woman buy several of the rings? No.
Half of the backpacks are orange. Are half of the backpacks orange? Yes.
The woman wanted three of the snacks. Did the woman want three of the snacks?", Yes.,1
2,at least two-at least two,"The woman bought none of the rings. Did the woman buy several of the rings? No.
Half of the backpacks are orange. Are half of the backpacks orange? Yes.
The actress sold at least two of the hats. Did the actress sell at least two of the hats?", Yes.,1
2,two-three,"Mark had both of the candles. Did Mark have both of the candles? Yes.
The actor bought exactly two of the keyrings. Did the actor buy none of the keyrings? No.
The actress saw two of the dogs. Did the actress see three of the dogs?", No.,1
2,three-two,"Mark had both of the candles. Did Mark have both of the candles? Yes.
The actor bought exactly two of the keyrings. Did the actor buy none of the keyrings? No.
The teacher bought three of the strawberries. Did the teacher buy two of the strawberries?", No.,0
2,three-at least two,"Mark had both of the candles. Did Mark have both of the candles? Yes.
The actor bought exactly two of the keyrings. Did the actor buy none of the keyrings? No.
The singer saw three of the signs. Did the singer see at least two of the signs?", Yes.,1
2,at least two-three,"Mark had both of the candles. Did Mark have both of the candles? Yes.
The actor bought exactly two of the keyrings. Did the actor buy none of the keyrings? No.
At least two of the shirts are colourful. Are three of the shirts colourful?", Yes.,0
2,three-three,"Mark had both of the candles. Did Mark have both of the candles? Yes.
The actor bought exactly two of the keyrings. Did the actor buy none of the keyrings? No.
Three of the cars are blue. Are three of the cars blue?", Yes.,1
2,at least two-at least two,"Mark had both of the candles. Did Mark have both of the candles? Yes.
The actor bought exactly two of the keyrings. Did the actor buy none of the keyrings? No.
Jo liked at least two of the apples. Did Jo like at least two of the apples?", Yes.,1
2,two-three,"The actor saw some of the burgers. Did the actor see more than one of the burgers? Yes.
Mary bought all of the toys. Did Mary buy none of the toys? No.
Sidney ordered two of the pretzels. Did Sidney order three of the pretzels?", No.,1
2,three-two,"The actor saw some of the burgers. Did the actor see more than one of the burgers? Yes.
Mary bought all of the toys. Did Mary buy none of the toys? No.
Three of the pastries are mouldy. Are two of the pastries mouldy?", No.,0
2,three-at least two,"The actor saw some of the burgers. Did the actor see more than one of the burgers? Yes.
Mary bought all of the toys. Did Mary buy none of the toys? No.
John ordered three of the bottles. Did John order at least two of the bottles?", Yes.,1
2,at least two-three,"The actor saw some of the burgers. Did the actor see more than one of the burgers? Yes.
Mary bought all of the toys. Did Mary buy none of the toys? No.
Robin noticed at least two of the snacks. Did Robin notice three of the snacks?", No.,0
2,three-three,"The actor saw some of the burgers. Did the actor see more than one of the burgers? Yes.
Mary bought all of the toys. Did Mary buy none of the toys? No.
The woman had three of the rings. Did the woman have three of the rings?", Yes.,1
2,at least two-at least two,"The actor saw some of the burgers. Did the actor see more than one of the burgers? Yes.
Mary bought all of the toys. Did Mary buy none of the toys? No.
John sold at least two of the pretzels. Did John sell at least two of the pretzels?", Yes.,1
2,two-three,"Jo purchased both of the shirts. Did Jo purchase both of the shirts? Yes.
Robin ate several of the chocolates. Did Robin eat none of the chocolates? No.
The singer owned two of the pancakes. Did the singer own three of the pancakes?", No.,1
2,three-two,"Jo purchased both of the shirts. Did Jo purchase both of the shirts? Yes.
Robin ate several of the chocolates. Did Robin eat none of the chocolates? No.
Sophie ordered three of the sandwiches. Did Sophie order two of the sandwiches?", No.,0
2,three-at least two,"Jo purchased both of the shirts. Did Jo purchase both of the shirts? Yes.
Robin ate several of the chocolates. Did Robin eat none of the chocolates? No.
The woman owned three of the burgers. Did the woman own at least two of the burgers?", Yes.,1
2,at least two-three,"Jo purchased both of the shirts. Did Jo purchase both of the shirts? Yes.
Robin ate several of the chocolates. Did Robin eat none of the chocolates? No.
Sally had at least two of the toys. Did Sally have three of the toys?", Yes.,0
2,three-three,"Jo purchased both of the shirts. Did Jo purchase both of the shirts? Yes.
Robin ate several of the chocolates. Did Robin eat none of the chocolates? No.
Ann noticed three of the keyrings. Did Ann notice three of the keyrings?", Yes.,1
2,at least two-at least two,"Jo purchased both of the shirts. Did Jo purchase both of the shirts? Yes.
Robin ate several of the chocolates. Did Robin eat none of the chocolates? No.
The actress purchased at least two of the sandwiches. Did the actress purchase at least two of the sandwiches?", Yes.,1
2,two-three,"The actress spotted most of the rings. Did the actress spot none of the rings? No.
Three of the sweaters are expensive. Are three of the sweaters expensive? Yes.
Lucy spotted two of the attractions. Did Lucy spot three of the attractions?", No.,1
2,three-two,"The actress spotted most of the rings. Did the actress spot none of the rings? No.
Three of the sweaters are expensive. Are three of the sweaters expensive? Yes.
Sally bought three of the sandwiches. Did Sally buy two of the sandwiches?", No.,0
2,three-at least two,"The actress spotted most of the rings. Did the actress spot none of the rings? No.
Three of the sweaters are expensive. Are three of the sweaters expensive? Yes.
Laura sold three of the snacks. Did Laura sell at least two of the snacks?", Yes.,1
2,at least two-three,"The actress spotted most of the rings. Did the actress spot none of the rings? No.
Three of the sweaters are expensive. Are three of the sweaters expensive? Yes.
At least two of the keyrings are green. Are three of the keyrings green?", No.,0
2,three-three,"The actress spotted most of the rings. Did the actress spot none of the rings? No.
Three of the sweaters are expensive. Are three of the sweaters expensive? Yes.
Robin noticed three of the temples. Did Robin notice three of the temples?", No.,0
2,at least two-at least two,"The actress spotted most of the rings. Did the actress spot none of the rings? No.
Three of the sweaters are expensive. Are three of the sweaters expensive? Yes.
Mary liked at least two of the tickets. Did Mary like at least two of the tickets?", Yes.,1
2,two-three,"The man had two of the burgers. Did the man have two of the burgers? Yes.
Most of the pastries are delicious. Are none of the pastries delicious? No.
Michael spotted two of the umbrellas. Did Michael spot three of the umbrellas?", No.,1
2,three-two,"The man had two of the burgers. Did the man have two of the burgers? Yes.
Most of the pastries are delicious. Are none of the pastries delicious? No.
Sally sold three of the keyrings. Did Sally sell two of the keyrings?", Yes.,1
2,three-at least two,"The man had two of the burgers. Did the man have two of the burgers? Yes.
Most of the pastries are delicious. Are none of the pastries delicious? No.
The actor bought three of the apples. Did the actor buy at least two of the apples?", Yes.,1
2,at least two-three,"The man had two of the burgers. Did the man have two of the burgers? Yes.
Most of the pastries are delicious. Are none of the pastries delicious? No.
At least two of the candles are yellow. Are three of the candles yellow?", Yes.,0
2,three-three,"The man had two of the burgers. Did the man have two of the burgers? Yes.
Most of the pastries are delicious. Are none of the pastries delicious? No.
Three of the churros are affordable. Are three of the churros affordable?", Yes.,1
2,at least two-at least two,"The man had two of the burgers. Did the man have two of the burgers? Yes.
Most of the pastries are delicious. Are none of the pastries delicious? No.
The man had at least two of the apples. Did the man have at least two of the apples?", Yes.,1
2,two-three,"Ann bought none of the apples. Did Ann buy some of the apples? No.
Robin ordered both of the churros. Did Robin order two of the churros? Yes.
Mark liked two of the chocolates. Did Mark like three of the chocolates?", No.,1
2,three-two,"Ann bought none of the apples. Did Ann buy some of the apples? No.
Robin ordered both of the churros. Did Robin order two of the churros? Yes.
Adam liked three of the peanuts. Did Adam like two of the peanuts?", No.,0
2,three-at least two,"Ann bought none of the apples. Did Ann buy some of the apples? No.
Robin ordered both of the churros. Did Robin order two of the churros? Yes.
Three of the bottles are on sale. Are at least two of the bottles on sale?", Yes.,1
2,at least two-three,"Ann bought none of the apples. Did Ann buy some of the apples? No.
Robin ordered both of the churros. Did Robin order two of the churros? Yes.
Ann bought at least two of the hats. Did Ann buy three of the hats?", No.,0
2,three-three,"Ann bought none of the apples. Did Ann buy some of the apples? No.
Robin ordered both of the churros. Did Robin order two of the churros? Yes.
Sophie sold three of the sweaters. Did Sophie sell three of the sweaters?", Yes.,1
2,at least two-at least two,"Ann bought none of the apples. Did Ann buy some of the apples? No.
Robin ordered both of the churros. Did Robin order two of the churros? Yes.
Adam spotted at least two of the candles. Did Adam spot at least two of the candles?", Yes.,1
2,two-three,"Exactly two of the backpacks are orange. Are three of the backpacks orange? No.
Michael ate half of the snacks. Did Michael eat some of the snacks? Yes.
Jim owned two of the rings. Did Jim own three of the rings?", No.,1
2,three-two,"Exactly two of the backpacks are orange. Are three of the backpacks orange? No.
Michael ate half of the snacks. Did Michael eat some of the snacks? Yes.
Laura liked three of the oranges. Did Laura like two of the oranges?", No.,0
2,three-at least two,"Exactly two of the backpacks are orange. Are three of the backpacks orange? No.
Michael ate half of the snacks. Did Michael eat some of the snacks? Yes.
Mary owned three of the pancakes. Did Mary own at least two of the pancakes?", Yes.,1
2,at least two-three,"Exactly two of the backpacks are orange. Are three of the backpacks orange? No.
Michael ate half of the snacks. Did Michael eat some of the snacks? Yes.
At least two of the scarves are yellow. Are three of the scarves yellow?", No.,0
2,three-three,"Exactly two of the backpacks are orange. Are three of the backpacks orange? No.
Michael ate half of the snacks. Did Michael eat some of the snacks? Yes.
Ann got three of the cupcakes. Did Ann get three of the cupcakes?", No.,0
2,at least two-at least two,"Exactly two of the backpacks are orange. Are three of the backpacks orange? No.
Michael ate half of the snacks. Did Michael eat some of the snacks? Yes.
Robin sold at least two of the keyrings. Did Robin sell at least two of the keyrings?", Yes.,1
3,two-three,"The actress owned half of the hats. Did the actress own three of the hats? Maybe.
All of the rings are yellow. Are none of the rings yellow? No.
The teacher spotted half of the adverts. Did the teacher spot some of the adverts? Yes.
Laura ordered two of the scarves. Did Laura order three of the scarves?", No.,1
3,three-two,"The actress owned half of the hats. Did the actress own three of the hats? Maybe.
All of the rings are yellow. Are none of the rings yellow? No.
The teacher spotted half of the adverts. Did the teacher spot some of the adverts? Yes.
Lucy ordered three of the pastries. Did Lucy order two of the pastries?", No.,0
3,three-at least two,"The actress owned half of the hats. Did the actress own three of the hats? Maybe.
All of the rings are yellow. Are none of the rings yellow? No.
The teacher spotted half of the adverts. Did the teacher spot some of the adverts? Yes.
Ann ate three of the chocolates. Did Ann eat at least two of the chocolates?", Yes.,1
3,at least two-three,"The actress owned half of the hats. Did the actress own three of the hats? Maybe.
All of the rings are yellow. Are none of the rings yellow? No.
The teacher spotted half of the adverts. Did the teacher spot some of the adverts? Yes.
At least two of the pretzels are cheap. Are three of the pretzels cheap?", No.,0
3,three-three,"The actress owned half of the hats. Did the actress own three of the hats? Maybe.
All of the rings are yellow. Are none of the rings yellow? No.
The teacher spotted half of the adverts. Did the teacher spot some of the adverts? Yes.
The woman wanted three of the cakes. Did the woman want three of the cakes?", Yes.,1
3,at least two-at least two,"The actress owned half of the hats. Did the actress own three of the hats? Maybe.
All of the rings are yellow. Are none of the rings yellow? No.
The teacher spotted half of the adverts. Did the teacher spot some of the adverts? Yes.
Laura got at least two of the strawberries. Did Laura get at least two of the strawberries?", Yes.,1
3,two-three,"Half of the cupcakes are delicious. Are three of the cupcakes delicious? Maybe.
The woman liked none of the sweaters. Did the woman like two of the sweaters? No.
The man saw some of the mugs. Did the man see more than one of the mugs? Yes.
Jim bought two of the umbrellas. Did Jim buy three of the umbrellas?", No.,1
3,three-two,"Half of the cupcakes are delicious. Are three of the cupcakes delicious? Maybe.
The woman liked none of the sweaters. Did the woman like two of the sweaters? No.
The man saw some of the mugs. Did the man see more than one of the mugs? Yes.
Sophie sold three of the mugs. Did Sophie sell two of the mugs?", No.,0
3,three-at least two,"Half of the cupcakes are delicious. Are three of the cupcakes delicious? Maybe.
The woman liked none of the sweaters. Did the woman like two of the sweaters? No.
The man saw some of the mugs. Did the man see more than one of the mugs? Yes.
Ann spotted three of the scarves. Did Ann spot at least two of the scarves?", Yes.,1
3,at least two-three,"Half of the cupcakes are delicious. Are three of the cupcakes delicious? Maybe.
The woman liked none of the sweaters. Did the woman like two of the sweaters? No.
The man saw some of the mugs. Did the man see more than one of the mugs? Yes.
Sidney wanted at least two of the apples. Did Sidney want three of the apples?", No.,0
